class	condition	object	pos	value
B	B	17	33.3333333333	2.68467692914
C	B	46	33.3333333333	2.91249658238
C	B	59	33.3333333333	5.75014637145
B	B	19	33.3333333333	0.0
C	C	54	33.3333333333	1.60685531515
B	C	17	33.3333333333	1.88636518957
C	C	46	33.3333333333	2.00356014247
C	C	59	33.3333333333	1.21021740173
B	C	19	33.3333333333	0.0
A	A	5	33.3333333333	0.0
B	A	22	33.3333333333	0.0
C	A	43	33.3333333333	0.0
A	B	5	33.3333333333	0.0
B	B	22	33.3333333333	0.0
C	B	43	33.3333333333	0.0
A	C	5	33.3333333333	0.919658145902
B	C	22	33.3333333333	0.0
C	C	43	33.3333333333	0.0
B	A	33	33.3333333333	0.0
B	A	18	33.3333333333	1.02908107666
A	A	7	33.3333333333	0.203530698521
A	A	12	33.3333333333	0.317314489075
C	A	47	33.3333333333	3.2064508414
B	B	33	33.3333333333	0.047569098926
B	B	18	33.3333333333	0.0173033757713
A	B	7	33.3333333333	2.73571062515
A	B	12	33.3333333333	0.479609296557
C	B	47	33.3333333333	3.56712727806
B	C	33	33.3333333333	0.0
B	C	18	33.3333333333	0.520436329664
A	C	7	33.3333333333	1.28526667315
A	C	12	33.3333333333	1.17278191303
C	C	47	33.3333333333	1.67169962531
A	A	2	33.3333333333	0.0
A	A	9	33.3333333333	0.0
A	A	11	33.3333333333	0.0
B	A	34	33.3333333333	0.679311188735
B	A	35	33.3333333333	0.0
A	A	10	33.3333333333	0.0
B	A	30	33.3333333333	0.79511526092
A	B	2	33.3333333333	0.0
A	B	9	33.3333333333	0.0
A	B	11	33.3333333333	0.0
B	B	34	33.3333333333	1.62382051886
B	B	35	33.3333333333	0.0
A	B	10	33.3333333333	0.0
B	B	30	33.3333333333	0.941530791565
A	C	2	33.3333333333	0.0
A	C	9	33.3333333333	0.0
A	C	11	33.3333333333	0.0
B	C	34	33.3333333333	1.85552851914
B	C	35	33.3333333333	0.0
A	C	10	33.3333333333	0.0
B	C	30	33.3333333333	0.621425041044
C	A	52	33.3333333333	2.10831736291
C	A	57	33.3333333333	5.64436528473
B	A	24	33.3333333333	0.0
C	A	44	33.3333333333	0.596183314329
B	A	15	33.3333333333	0.0
C	A	51	33.3333333333	4.93551382428
B	A	27	33.3333333333	0.768408785369
C	B	52	33.3333333333	4.75858604855
C	B	57	33.3333333333	0.787826101056
B	B	24	33.3333333333	0.0
C	B	44	33.3333333333	2.38897143956
B	B	15	33.3333333333	0.0
C	B	51	33.3333333333	5.60211595414
B	B	27	33.3333333333	0.0
C	C	52	33.3333333333	1.91732786997
C	C	57	33.3333333333	1.03975746156
B	C	24	33.3333333333	0.0
C	C	44	33.3333333333	1.4295859719
B	C	15	33.3333333333	0.0
C	C	51	33.3333333333	1.39989349118
B	C	27	33.3333333333	0.18344586117
C	A	45	33.3333333333	1.33821559042
C	A	49	33.3333333333	0.899089762429
C	A	53	33.3333333333	1.5453630019
B	A	23	33.3333333333	1.14844737716
